"","attributes","B and B","Rusty Nail","The Blenheim","Churchill","Common Market","Four Score","Golden Doublet","Kensington Court Special","Link Up","Lorraine","Missouri Mule","Moonwalk","My Fair Lady","Nixon","Powerscourt","The Ed Shelly","Prince of Wales","Royal Arrival","Savoy Affair","Savoy Royale","Savoy Corpse Reviver","Wolfram","Brandy Alexander","Manhattan","Brandy Sour","Sours","White Lady","Brandy Daisy","Chicago Cocktail","French Connection","Horse's Neck","Incredible Hulk","Jack Rose","Paradise","Pisco sour","Porto Flip","Sazerac","Sidecar","Singapore Sling","Stinger","Tom and Jerry","Caipirinha","Caju amigo","Batida","Quentão","Bacardi cocktail","Between the Sheets","Blue Hawaii","Brass Monkey","Bumbo","Bushwacker","","Cojito","Cremat","Cuba Libre (Rum and Coke)","Cuban Sunset","Daiquiri","Dark 'n' Stormy","El Presidente","Flaming Doctor Pepper","Flaming volcano","Gunfire","Hot buttered rum","Hurricane","Long Island Iced Tea","Macuá","Mai Tai","Mojito","Painkiller","Piña colada","Planter's Punch","Bermuda Rum Swizzle","151 Swizzle","Suffering Bastard (1942)","Club-Mate","Tschunk","Yellow Bird","Zombie","Bloody Mary","Sake bomb","Tamagozake","Chimayó Cocktail","El Toro Loco","Tom Collins","Juan Collins","Margarita","Matador","Paloma","Tequila Slam/Coscorron","Tequila Sunrise","Vampiro","Agent Orange","Appletini ","Astro pop","Black Russian","BLT","Blue Lagoon","Caesar","Cape Codder","Colombia","Cosmopolitan","Fizzy Apple Cocktail","Gimlet","Harrogate Nights","Harvey Wallbanger","Screwdriver","Kamikaze","Mint julep","Lemon drop martini","Rickey","Moscow mule","Orange Tundra","Red Russian","Salmiakki Koskenkorva","Salty dog","Sea Breeze","Sex on the Beach","Vesper","Vodka martini","White Russian","Woo Woo","Yorsh","Amber Moon","Black Nail","Bobby Burns","Boulevardier","Bourbon lancer","Brooklyn","Farnell","Irish Coffee","Horsefeather","Jack and Coke","Lynchburg Lemonade","Old Fashioned","Rob Roy","Scotch and soda","Seven and Seven","Toronto","Whiskey sour","Black Velvet","Death in the Afternoon","B-52","Baby Guinness","Orgasm","Backdraft","Carrot Cake","Jägerbomb","Americano","Polar Bear","Redheaded slut"
"79","Old Fashioned recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old Fashioned recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Originally Jägermeister and beer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Originally Jägermeister and beer",NA,NA,NA
"81","Owner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FELD Motorsports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Owner and driver information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Owner and driver information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Paradise recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paradise recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Peruvian pisco sour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peruvian pisco sour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Pisco sour recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pisco sour recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Piña colada recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Piña colada recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Planter's Punch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planter's Punch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Planter's Punch recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planter's Punch recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Polar Bear cocktail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polar Bear cocktail",NA
"90","Porto Flip recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porto Flip recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Preparation","Combine and stir.","Fill rocks glass with ice.  Pour 1½ oz tequila and 1/2 oz Kahlúa. Serve.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake ingredients together with ice, and strain into a cocktail glass.","Stir together with ice, strain into glass, garnish with a twisted lemon rind","Shake ingredients together with ice, and strain into champagne cocktail glass, and fill with champagne.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake well, serve on the rocks.","Stir with ice, strain into glass, and serve.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake well, strain into wine glass and top up with champagne.","Shake ingredients together with ice, and strain into a cocktail glass.","Stir and serve on the rocks, garnish.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake ingredients together. Serve straight or with one ice cube","Blend and then pour into a champagne glass and fill with champagne.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake ingredients together with ice, and strain into a cocktail glass, and fill with champagne and garnish.","Liquidise, strain into a champagne glass and fill with champagne.","Shake ingredients together with ice, and strain into a glass.","Shake ingredients together with ice, and strain into a cocktail glass.","Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.","Stirred over ice, strained into a chilled glass, garnished, and served up.","Stir into glass over ice, garnish and serve.",NA,"Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.","Shake with ice in a cocktail shaker, then strain into a chilled Coupe glass and top with a splash of chilled club soda or seltzer.","Shake or stir with ice.","Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.","Stir together and serve over ice.","Traditionally shaken into a chilled glass, garnished, and served straight up.","Shake together over ice.  Strain into cocktail glass and serve chilled.","Vigorously shake contents in a cocktail shaker with ice cubes, then strain into a glass and garnish with bitters.[1]","Shake ingredients together in a mixer with ice.  Strain into glass, garnish and serve","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. ~~~Stir the remaining ingredients over ice and set it aside. ~~~~~~Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.[1]","Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.","Pour in a mixing glass with ice, stir and strain into a cocktail glass.  May also be served on rocks in a rocks glass.","Separate Eggs, Beat Egg Whites until stiff. Mix Egg Yolks with Powdered Sugar, Put spoonful of yolk mixture in cup, mix with brandy and rum, Fold in some Egg White then add hot milk and top with more Egg White, stir gently to fold in the egg white. Top with Nutmeg.","Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.[3]","Mix and pour into chilled glass.","caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.","In a mixing glass, mix sugar and fruit slices and press to juice fruit, add ice, guava juice and cachaça, mix again - pour into tall glass.","Shake together with ice.  Strain into glass and serve","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","Combine all ingredients with ice, stir or shake, then pour into a hurricane glass with the ice. For garnish score pineapple or orange slice with a knife and insert onto rim of glass; optionally use toothpick or cocktail umbrella to spear maraschino cherry through center and attach to top of fruit slice; otherwise float cherry on top of ice!","Stir together and serve over ice.","Mix and garnish.","Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.","Mix all ingredients in a pot, heat, then set aflame. Put out when about 1/3 of the drink has burned away. Serve hot in coffee mugs or glasses.","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.","Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]","Pour all ingredients into shaker with ice cubes. Shake well. Double Strain in chilled cocktail glass.","Fill glass with ice, add rum and top with ginger beer. Garnish with lime wedge.","Stir well with ice, then strain into glass.  Garnish and serve.","Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.","Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.","Pour the tea into a cup. Pour the rum in and stir.",NA,"Shake ingredients with ice, then pour into the glass and serve over ice.","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]","Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.","Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish with sprig of mint leaves and lemon slice. Serve with straw.","Shake and garnish.",NA,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.","Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.","Fill half a tall glass with crushed ice. Add all ingredients and swizzle (or stir with a long spoon) until ice forms on the outside of the glass (approx 8-10 seconds). Top with additional crushed ice.~~~Alternative: Combine liquid ingredients and crushed ice in blender, blend on high 5 seconds. Pour into frosty pre-chilled metallic or tiki mug. Garnish with grated nutmeg and cinnamon stick.","Shake everything but ginger beer with ice, then stir & pour unstrained",NA,"Dice limes, put them together with the brown sugar into a high glass and crush both. Add crushed ice and pour the rum and the mate over it. Add a straw","Shake and strain into a chilled cocktail glass","Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.","Stirring gently, pour all ingredients into highball glass. Garnish.","The shot of sake is dropped into the beer, causing it to fizz violently.  The drink should then be consumed immediately.","Whisk the raw egg yolk and honey/sugar into 3/4 cup hot sake (hot enough to lightly cook the egg – 1:30 in the microwave).","Pour the tequila and unfiltered apple cider into glass over ice.  Add the lemon juice and creme de cassis and stir.  Garnish and serve.",NA,"Mix the gin, lemon juice and sugar syrup in a tall glass with ice, top up with soda water, garnish and serve.","Pour the tequila, lemon juice, and nectar into a collins glass over ice, stir. Add splash of club soda and garnish with lime and cherry.[20]","Pour all ingredients into shaker with ice. Shake well and strain into cocktail glass rimmed with salt.","Mix the ingredients in a shaker half full of ice.  Strain and serve in a chilled cocktail glass or champagne flute.","Stir together and serve over ice.","Mix carefully to avoid releasing the dissolved CO2.","Pour the tequila and orange juice into glass over ice.  Add the grenadine, which will sink to the bottom.  Stir gently to create the sunrise effect.  Garnish and serve.","Pour ingredients into glass rimmed with salt. Stir.","Mix in an old fashioned glass with ice and serve.","Mix in a shaker, then pour into a chilled glass.  Garnish and serve.",NA,"Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.",NA,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.","Rim glass with celery salt, and a lime wedge.","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.","Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.","Shake all ingredients in cocktail shaker filled with ice. Strain into a large cocktail glass. Garnish with lime slice.","Combine all three ingredients into a chilled glass and serve with ice and garnish.","Mix and serve. Garnish with a slice of lime","Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top.  Garnish and serve.","Mix in a highball glass with ice. Garnish and serve.","Shake all ingredients together with ice. Strain into glass, garnish and serve.","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.","Shake and strain into a chilled cocktail glass rimmed with sugar.","Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.","Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.","add vodka, cream soda, coffee liqueur then orange juice to a highball class","Pour vodka, then Cherry Heering over ice.","Premixed cocktail","Shake gin and grapefruit juice in cocktail shaker. Strain into a salt-rimmed highball glass.","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.","Build all ingredients in a highball glass filled with ice. Garnish with orange slice.","Shake and strain into a chilled cocktail glass. Add the garnish.","Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Pour coffee liqueur and vodka into an Old Fashioned glass filled with ice. Float fresh cream on top and stir slowly.","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.","Mix thoroughly and drink quickly.","Crack an egg into a tall glass, leaving the yolk unbroken. Pour in whiskey. Add Tabasco to taste, or serve on the side.","Fill a rocks glass with ice cubes and then add the Irish whiskey and then Irish Mist. Stir gently.","Put all liquid ingredients in cocktail shaker filled with ice. Squeeze lemon peel on top. Shake, strain into glass.","Stir with ice, strain, garnish and serve.","Build over ice; stir. Garnish with twist of lemon peel.","Stirred over ice, strained into a chilled glass, garnished, and served straight up.","Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with lemonade.  Stir lightly and garnish with lime and mint.","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","Fill a highball glass 3/4 with ice. Pour in ingredients and stir.","Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with Coca-Cola.  Stir lightly.","Shake first 3 ingredients with ice and strain into ice-filled glass. Top with the lemonade or lemon-lime. Add ice and stir. Garnish with lemon slices and cherries.[1]","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water.~~~Muddle until dissolved. ~~~Fill the glass with ice cubes and add whiskey. ~~~Garnish with orange twist, and a cocktail cherry.","Stirred over ice, strained into a chilled glass, garnished, and served straight up, or mixed in rocks glass, filled with ice.","Measure whisky into glass (with or without ice), top with water as desired","Pour whiskey into Collins glass filled with ice.  Fill to desired level with 7 Up. Stir lightly.",NA,"Shake with ice. Strain into chilled glass, garnish and serve.","Mix equal parts stout and Champagne",NA,"Layer ingredients into a shot glass.  Serve with a stirrer.","Float Irish cream on top of coffee liqueur","Build all ingredients over ice in an old fashioned glass or shot glass.","The preparation of this drink is complex, and is explained below.",NA,NA,"Pour the Campari and vermouth over ice into a highball glass, add a splash of soda water and garnish with half orange slice and a lemon twist.",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary."
"92","Primary alcohol by volume",NA,"Tequila","Brandy","Scotch whisky",NA,"Brandy",NA,"Vodka","Vodka","Gin","Bourbon whiskey~~~Campari",NA,"Gin","Bourbon whiskey","Brandy","Whiskey","Brandy","Gin","Brandy",NA,"Brandy","Gin","Brandy","Whiskey","Brandy",NA,"Gin","Brandy","Brandy","Cognac","Brandy","Cognac","Brandy","Gin","Pisco","Port","Cognac","Cognac","Gin","Cognac",NA,"Cachaça","Cachaça","Wine~~~Cachaça","Cachaça","Rum","Cognac~~~Rum~~~Triple sec","Vodka~~~Rum~~~Curaçao",NA,"Rum",NA,NA,"Rum","Rum","Rum",NA,"Rum","Rum","Rum","Beer~~~High-proof alcohol~~~Amaretto","Rum",NA,NA,"Rum","Gin~~~Tequila~~~Vodka~~~Rum~~~Triple sec","Rum","Rum","Rum","Rum","Rum","Rum",NA,NA,NA,NA,"Rum","Rum","Rum","Vodka","Beer~~~Sake","Sake","Tequila",NA,"Gin","Tequila","Tequila","Tequila","Tequila","Tequila","Tequila","Tequila","Vodka","Vodka",NA,"Vodka","Vodka","Vodka","Vodka","Vodka","Vodka~~~Curaçao","Vodka","Vodka","Gin~~~Vodka","Vodka","Vodka","Vodka","Vodka~~~Triple Sec","Bourbon whiskey","Vodka","Gin~~~Bourbon whiskey","Vodka","Vodka~~~cream soda, coffee liqueur and orange juice","Vodka","Vodka","Gin","Vodka","Vodka","Gin","Vermouth~~~Vodka","Vodka~~~Coffee liqueur",NA,"Beer~~~Vodka","Whiskey",NA,NA,"Bourbon whiskey~~~Vermouth~~~Campari",NA,"Whiskey","Tennessee whiskey","Irish whiskey","Whiskey","Tennessee whiskey","Tennessee whiskey","Whiskey","Scotch whisky",NA,NA,"Canadian whisky","Whiskey",NA,"Champagne~~~Absinthe","Coffee liqueur~~~Irish cream~~~Orange-flavored liqueur",NA,"Irish cream","Sambuca","Irish cream~~~Frangelico",NA,"Vermouth~~~Campari","Schnapps~~~Crème de cacao","Schnapps~~~Jägermeister"
"93","Red Russian recipe at CocktailDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Russian recipe at CocktailDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
